"doi","article_id","title","year","pdf_file","xml_file","pdf_exists","xml_exists","in_rds","grobid_version","conversion_date","license"
"10.1177/2041669516687049","2041669516687049","Pink Cricket Balls May Be Visually Challenging at Sunset",2017,"pdf/iperc.2041669516687049.pdf","xml/iperc.2041669516687049.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517699628","2041669517699628","Sensitivity to Nonaccidental Configurations of Two-Line Stimuli",2017,"pdf/iperc.2041669517699628.pdf","xml/iperc.2041669517699628.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517694396","2041669517694396","In Your Face: Startle to Emotional Facial Expressions Depends on Face Direction",2017,"pdf/iperc.2041669517694396.pdf","xml/iperc.2041669517694396.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517719297","2041669517719297","Voluntary and Involuntary Movements Widen the Window of Subjective Simultaneity",2017,"pdf/iperc.2041669517719297.pdf","xml/iperc.2041669517719297.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517707766","2041669517707766","Spatial Frequency Shifts From Counterphase Flicker and From Simultaneous Contrast",2017,"pdf/iperc.2041669517707766.pdf","xml/iperc.2041669517707766.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517699220","2041669517699220","Ways of Viewing Pictorial Plasticity",2017,"pdf/iperc.2041669517699220.pdf","xml/iperc.2041669517699220.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669516689572","2041669516689572","On the Factors Causing Processing Difficulty of Multiple-Scene Displays",2017,"pdf/iperc.2041669516689572.pdf","xml/iperc.2041669516689572.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517737792","2041669517737792","Trigger Features for Conveying Facial Expressions: The Role of Segmentation",2017,"pdf/iperc.2041669517737792.pdf","xml/iperc.2041669517737792.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517717500","2041669517717500","Effects of Lip Color on Perceived Lightness of Human Facial Skin",2017,"pdf/iperc.2041669517717500.pdf","xml/iperc.2041669517717500.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517707768","2041669517707768","Effect of Different Display Types on Vection and Its Interaction With Motion Direction and Field Dependence",2017,"pdf/iperc.2041669517707768.pdf","xml/iperc.2041669517707768.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517700912","2041669517700912","The Silhouette Zoetrope: A New Blend of Motion, Mirroring, Depth, and Size Illusions",2017,"pdf/iperc.2041669517700912.pdf","xml/iperc.2041669517700912.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517708206","2041669517708206","Accuracy and Tuning of Flow Parsing for Visual Perception of Object Motion During Self-Motion",2017,"pdf/iperc.2041669517708206.pdf","xml/iperc.2041669517708206.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669516688026","2041669516688026","Auditory Stimulus Detection Partially Depends on Visuospatial Attentional Resources",2017,"pdf/iperc.2041669516688026.pdf","xml/iperc.2041669516688026.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517708205","2041669517708205","The Accuracy and Precision of Position and Orientation Tracking in the HTC Vive Virtual Reality System for Scientific Research",2017,"pdf/iperc.2041669517708205.pdf","xml/iperc.2041669517708205.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517718557","2041669517718557","Novice Readers: The Role of Focused, Selective, Distributed and Alternating Attention at the First Year of the Academic Curriculum",2017,"pdf/iperc.2041669517718557.pdf","xml/iperc.2041669517718557.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517711200","2041669517711200","Pitch Perception in Tone Language-Speaking Adults With and Without Autism Spectrum Disorders",2017,"pdf/iperc.2041669517711200.pdf","xml/iperc.2041669517711200.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517726797","2041669517726797","Yawning Detection Sensitivity and Yawning Contagion",2017,"pdf/iperc.2041669517726797.pdf","xml/iperc.2041669517726797.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517725758","2041669517725758","Searching for Radial Symmetry",2017,"pdf/iperc.2041669517725758.pdf","xml/iperc.2041669517725758.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517747891","2041669517747891","The Peripheral Flicker Illusion",2017,"pdf/iperc.2041669517747891.pdf","xml/iperc.2041669517747891.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517710031","2041669517710031","Turbine Blade Illusion",2017,"pdf/iperc.2041669517710031.pdf","xml/iperc.2041669517710031.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517736322","2041669517736322","Social Factors in Aesthetics: Social Conformity Pressure and a Sense of Being Watched Affect Aesthetic Judgments",2017,"pdf/iperc.2041669517736322.pdf","xml/iperc.2041669517736322.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517744221","2041669517744221","About Face: Matching Unfamiliar Faces Across Rotations of View and Lighting",2017,"pdf/iperc.2041669517744221.pdf","xml/iperc.2041669517744221.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517702915","2041669517702915","Measuring Early Cortical Visual Processing in the Clinic",2017,"pdf/iperc.2041669517702915.pdf","xml/iperc.2041669517702915.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517743523","2041669517743523","On the Discovery of Monocular Rivalry by Tscherning in 1898: Translation and Review",2017,"pdf/iperc.2041669517743523.pdf","xml/iperc.2041669517743523.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517747001","2041669517747001","Volume Completion Between Contour Fragments at Discrete Depths",2017,"pdf/iperc.2041669517747001.pdf","xml/iperc.2041669517747001.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517742176","2041669517742176","The Oscillating Potential Model of Visually Induced Vection",2017,"pdf/iperc.2041669517742176.pdf","xml/iperc.2041669517742176.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517735541","2041669517735541","Perspective Space as a Model for Distance and Size Perception",2017,"pdf/iperc.2041669517735541.pdf","xml/iperc.2041669517735541.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517737561","2041669517737561","Moving Backgrounds Massively Change the Apparent Size, Shape and Orientation of Flashed Test Squares",2017,"pdf/iperc.2041669517737561.pdf","xml/iperc.2041669517737561.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517710663","2041669517710663","Expression Dependence in the Perception of Facial Identity",2017,"pdf/iperc.2041669517710663.pdf","xml/iperc.2041669517710663.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517715475","2041669517715475","The Discovery of the Venetian Blind Effect: A Translation of Münster (1941)",2017,"pdf/iperc.2041669517715475.pdf","xml/iperc.2041669517715475.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517736323","2041669517736323","Automaticity in Stimulus-Parity Synaesthesia",2017,"pdf/iperc.2041669517736323.pdf","xml/iperc.2041669517736323.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517699222","2041669517699222","Stereoscopic Segmentation Cues Improve Visual Timing Performance in Spatiotemporally Cluttered Environments",2017,"pdf/iperc.2041669517699222.pdf","xml/iperc.2041669517699222.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517712724","2041669517712724","Johann Joseph Oppel (1855) on Geometrical–Optical Illusions: A Translation and Commentary",2017,"pdf/iperc.2041669517712724.pdf","xml/iperc.2041669517712724.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517719296","2041669517719296","Effect of Viewing Angle on Volume Perceptions for Paired Tumblers",2017,"pdf/iperc.2041669517719296.pdf","xml/iperc.2041669517719296.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517724808","2041669517724808","Boundary Extension in Face Processing",2017,"pdf/iperc.2041669517724808.pdf","xml/iperc.2041669517724808.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517718697","2041669517718697","A Matched Comparison Across Three Different Sensory Pairs of Cross-Modal Temporal Recalibration From Sustained and Transient Adaptation",2017,"pdf/iperc.2041669517718697.pdf","xml/iperc.2041669517718697.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517735542","2041669517735542","Animals Do Not Induce or Reduce Attentional Blinking, But They Are Reported More Accurately in a Rapid Serial Visual Presentation Task",2017,"pdf/iperc.2041669517735542.pdf","xml/iperc.2041669517735542.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517737560","2041669517737560","Defocus Discrimination in Video: Motion in Depth",2017,"pdf/iperc.2041669517737560.pdf","xml/iperc.2041669517737560.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517728789","2041669517728789","The 13th Annual Asia Pacific Conference on Vision, 2017",2017,"pdf/iperc.2041669517728789.pdf","xml/iperc.2041669517728789.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517733484","2041669517733484","Colors of the Sublunar",2017,"pdf/iperc.2041669517733484.pdf","xml/iperc.2041669517733484.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517723652","2041669517723652","Effect of Expertise on Boundary Extension in Approach Sequences",2017,"pdf/iperc.2041669517723652.pdf","xml/iperc.2041669517723652.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517744571","2041669517744571","The Inference of Friendly Communicative Atmosphere Created by Geometric Shapes",2017,"pdf/iperc.2041669517744571.pdf","xml/iperc.2041669517744571.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669516686089","2041669516686089","Separate and Simultaneous Adjustment of Light Qualities in a Real Scene",2017,"pdf/iperc.2041669516686089.pdf","xml/iperc.2041669516686089.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517742177","2041669517742177","Seasonal Changes in Color Preferences Are Linked to Variations in Environmental Colors: A Longitudinal Study of Fall",2017,"pdf/iperc.2041669517742177.pdf","xml/iperc.2041669517742177.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517705387","2041669517705387","Structural Segmentation of Toru Takemitsu’s Piece, Itinerant, by Advanced Level Music Graduate Students",2017,"pdf/iperc.2041669517705387.pdf","xml/iperc.2041669517705387.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517711718","2041669517711718","Synesthesia and the McCollough Effect",2017,"pdf/iperc.2041669517711718.pdf","xml/iperc.2041669517711718.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517707972","2041669517707972","The “Spinner” Illusion: More Dots, More Speed?",2017,"pdf/iperc.2041669517707972.pdf","xml/iperc.2041669517707972.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517738542","2041669517738542","50 Years of Stereoblindness: Reconciliation of a Continuum of Disparity Detectors With Blindness for Disparity in Near or Far Depth",2017,"pdf/iperc.2041669517738542.pdf","xml/iperc.2041669517738542.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517694184","2041669517694184","Art Perception in the Museum: How We Spend Time and Space in Art Exhibitions",2017,"pdf/iperc.2041669517694184.pdf","xml/iperc.2041669517694184.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517707769","2041669517707769","Turning the Other Lobe: Directional Biases in Brain Diagrams",2017,"pdf/iperc.2041669517707769.pdf","xml/iperc.2041669517707769.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517731114","2041669517731114","Feeling Touch
                    <i>Through</i>
                    Glass: A Modified Rubber Hand Paradigm",2017,"pdf/iperc.2041669517731114.pdf","xml/iperc.2041669517731114.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517739635","2041669517739635","Determinants of Colour Constancy and the Blue Bias",2017,"pdf/iperc.2041669517739635.pdf","xml/iperc.2041669517739635.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517735125","2041669517735125","Trelliswork and Craquelure",2017,"pdf/iperc.2041669517735125.pdf","xml/iperc.2041669517735125.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
